title,artist,count,tag
천년의 사랑,이영현,163,
바람이 불었으면 좋겠어,길구봉구,145,
눈 감는 날까지,쏘쎄지,138,
구두,씨야,131,
잠시만 안녕,이영현,130,
입술의 말,엠씨더맥스,123,
삼켜내,쏘쎄지,115,
My Way,이수(엠씨더맥스),111,
모르시나요,다비치,105,
와인(迗人),김경호,102,
Say Yes,활,96,
어디에도,엠씨더맥스,90,
부디,심규선,88,
그날에 나는 맘이 편했을까,이예준,87,
너 없는 시간들,다비치,86,
비의 노래,"김연지, 이보람",84,
8282,다비치,78,
사랑은 늘 도망가,이문세,74,
널 위해,남순,73,
Happy Birthday To You,권진원,72,
미친 소리,이예준,70,
Tears,소찬휘,69,
아라리,심규선,67,
하늘에서 남자들이 비처럼 내려와,버블 시스터즈,66,
하루만 더,빅마마,65,
"묘해, 너와",어쿠스틱 콜라보,64,
다정히 내 이름을 부르면,"경서예지, 전건호",63,
인연,"윤민수, 신용재",62,
여가,장연주,59,
라라라,SG 워너비,58,
연,빅마마,56,
내 손을 잡아,아이유,55,
체념,빅마마,55,
그대니까요,다비치,54,
You,김상민,53,
눈 떠보니 이별이더라,포맨,53,
사랑의 인사,씨야,53,
하모니,"제아, 이영현",53,
사랑했었다,"이홍기, 유회승",52,
안녕이라고 말하지마,다비치,52,
미친 사랑의 노래,씨야,51,
조금 취했어(Prod. 2soo),임재현,51,
촛불하나,god,51,
그때 그 순간 그대로,WSG워너비,50,
불놀이야,큰콩땅콩,50,
오르막길,"정인, 윤종신",50,
술 한잔 해요,지아,48,
너무 보고싶어,어쿠스틱 콜라보,47,
거짓말이라도 해서 널 보고싶어,백지영,46,
비정,김경호,46,
하늘 끝에서 흘린 눈물,주니퍼,46,
기억해줘요 내 모든 날과 그때를,거미,44,
사건의 지평선,윤하,44,
내 생에 아름다운,케이윌,43,
Heaven,에일리,42,
나에게로의 초대,"조유진, 박기영",42,
시든 꽃에 물을 주듯,HYNN(박혜원),42,
바라보기,엠씨더맥스,41,
사랑하기 전에는,박완규,41,
딜라일라,마마무,40,
"스물다섯, 스물하나",자우림,40,
그런 일은,박화요비,38,
물론,지아,38,
첫눈처럼 너에게 가겠다,에일리,38,
친구라도 될 걸 그랬어,거미,38,
"가슴으로 운다(Feat. 아이린, 윤미)","디셈버, 제이세라",37,
거북이,다비치,37,
고맙소,김호중,37,
나 그댈위해 시 한편을 쓰겠어,케이시,37,
바람의 노래,소향,37,
심(心),얀,37,
오늘도 빛나는 너에게(Feat.이라온),마크툽,37,
팡파레,다비치,37,
해바라기(Feat. 써니사이드 MJ),가비엔제이,37,
사랑아,The One(더원),36,
서쪽 하늘,이승철,36,
진심이 담긴 노래,케이시,36,
사계(하루살이),엠씨더맥스,35,
환희,싸이,35,
그 중에 그대를 만나,이선희,34,
너의 흔적,엠씨더맥스,34,
야래향,심규선,34,
Dynamite,방탄소년단,33,
The Victory,Koreana,33,
기댈곳,싸이,33,
나를 외치다,마야,33,
내 안의 그대,서영은,33,
넋두리,알리,33,
다시 만날까 봐,V.O.S,32,
꿈에,박정현,31,
나를 살게하는 사랑,금잔디,31,
미워도 사랑하니까,다비치,31,
비행기,거북이,31,
사랑안해,백지영,31,
이건 내 노래,지아,31,
하늘바라기(Feat. 하림),정은지,31,
화장을 고치고,왁스,31,
Decalcomanie,마마무,30,
My Love(And),버즈,30,
You Are My Everything,거미,30,
금지된 사랑,김경호,30,
밤편지,아이유,30,
사랑비,김태우,30,
신호등,이무진,30,
민물장어의 꿈,신해철,29,
보여줄게,에일리,29,
오라버니,금잔디,29,
우리 왜 헤어져야 해,신예영,29,
처음처럼,엠씨더맥스,29,
초혼,장윤정,29,
혼자가 아닌 나,서영은,29,
님아,"윤민수, 송가인, 치타",28,
붉은 노을,이문세,28,
여전히 아름다운지,김연우,28,
당신을 위하여,더 크로스,27,
어른아이,거미,27,
열애중,벤,27,
이 사랑,다비치,27,
질풍가도,유정석,27,
Hello,허각,26,
No.3(Feat. Sol Flower),배치기,26,
니 소식,송하예,26,
별,유미,26,
한숨,이하이,26,
LOVE ALL,gavy nj project group[H7美人(미인)(가비엔제이)],25,
그대를 그대를,김동희,25,
너에게 못했던 내 마지막 말은,다비치,25,
말리꽃,이승철,25,
사랑이 식었다고 말해도 돼,먼데이 키즈,25,
사랑하기 싫어,지아,25,
서약,알리,25,
여인의 향기,씨야,25,
"사랑, 결코 시들지 않는...",서문탁,24,
사랑만 알아서,지아,24,
